title,content,tokens
Page 12,"xii Contents Composing Ruby Methods 122 One Way Out? 123 Staying Out of Trouble126 In the Wild 127 Wrapping Up 128 Chapter 11: Define Operators Respectfully 129 Defining Operators in Ruby 129 A Sampling of Operators 131 Operating Across Classes 134 Staying Out of Trouble135 In the Wild 137 Wrapping Up 139 Chapter 12: Create Classes That Understand Equality 141 An Identifier for Your Documents 141 An Embarrassment of Equality 142 Double Equals for Everyday Use 143 Broadening the Appeal of the == Method 145 Well-Behaved Equality 146 Triple Equals for Case Statements 149 Hash Tables and the eql? Method 150 Building a Well-Behaved Hash Key 152 Staying Out of Trouble153 In the Wild 154 Wrapping Up 156 Chapter 13: Get the Behavior You Need with Singleton and Class Methods 157 A Stubby Puzzle 158 A Hidden, but Real Class 160 Class Methods: Singletons in Plain Sight 162 In the Wild 164 Staying Out of Trouble165 Wrapping Up 167",132
Page 13,"Contents xiii Chapter 14: Use Class Instance Variables 169 A Quick Review of Class Variables 169 Wandering Variables 171 Getting Control of the Data in Your Class 174 Class Instance Variables and Subclasses 175 Adding Some Convenience to Your Class Instance Variables 176 In the Wild 177 Staying Out of Trouble 179 Wrapping Up 179 Chapter 15: Use Modules as Name Spaces 181 A Place for Your Stuff, with a Name 181 A Home for Those Utility Methods 184 Building Modules a Little at a Time 185 Treat Modules Like the Objects That They Are 186 Staying Out of Trouble 189 In the Wild 190 Wrapping Up 191 Chapter 16: Use Modules as Mixins 193 Better Books with Modules 193 Mixin Modules to the Rescue 195 Extending a Module 197 Staying Out of Trouble 198 In the Wild 202 Wrapping Up 205 Chapter 17: Use Blocks to Iterate 207 A Quick Review of Code Blocks 207 One Word after Another 209 As Many Iterators as You Like 210 Iterating over the Ethereal 211 Enumerable: Your Iterator on Steroids 213 Staying Out of Trouble 215 In the Wild 217 Wrapping Up 218",158
Page 14,xiv Contents Chapter 18: Execute Around with a Block 219 Add a Little Logging 219 When It Absolutely Must Happen 224 Setting Up Objects with an Initialization Block 225 Dragging Your Scope along with the Block 225 Carrying the Answers Back 227 Staying Out of Trouble228 In the Wild 229 Wrapping Up 231 Chapter 19: Save Blocks to Execute Later 233 Explicit Blocks 233 The Call Back Problem 234 Banking Blocks 236 Saving Code Blocks for Lazy Initialization 237 Instant Block Objects 239 Staying Out of Trouble240 In the Wild 243 Wrapping Up 244 PART III: Metaprogramming 247 Chapter 20: Use Hooks to Keep Your Program Informed 249 Waking Up to a New Subclass 250 Modules Want To Be Heard Too 253 Knowing When Your Time Is Up 255 . . . And a Cast of Thousands 256 Staying Out of Trouble257 In the Wild 259 Wrapping Up 261 Chapter 21: Use method_missing for Flexible Error Handling 263 Meeting Those Missing Methods 264 Handling Document Errors 266 Coping with Constants 267 In the Wild 268,144
Page 15,"Contents xv Staying Out of Trouble270 Wrapping Up 271 Chapter 22: Use method_missing for Delegation 273 The Promise and Pain of Delegation 274 The Trouble with Old-Fashioned Delegation 275 The method_missing Method to the Rescue 277 More Discriminating Delegation278 Staying Out of Trouble279 In the Wild 281 Wrapping Up 283 Chapter 23: Use method_missing to Build Flexible APIs 285 Building Form Letters One Word at a Time 286 Magic Methods from method_missing 287 It’s the Users That Count—All of Them 289 Staying Out of Trouble289 In the Wild 290 Wrapping Up 292 Chapter 24: Update Existing Classes with Monkey Patching 293 Wide-Open Classes 294 Fixing a Broken Class 295 Improving Existing Classes 296 Renaming Methods with alias_method 297 Do Anything to Any Class, Anytime 299 In the Wild 299 Staying Out of Trouble303 Wrapping Up 303 Chapter 25: Create Self-Modifying Classes 305 Open Classes, Again 305 Put Programming Logic in Your Classes 308 Class Methods That Change Their Class 309 In the Wild 310",145
Page 16,xvi Contents Staying Out of Trouble314 Wrapping Up 315 Chapter 26: Create Classes That Modify Their Subclasses 317 A Document of Paragraphs 317 Subclassing Is (Sometimes) Hard to Do 319 Class Methods That Build Instance Methods 321 Better Method Creation with define_method 324 The Modification Sky Is the Limit 324 In the Wild 327 Staying Out of Trouble330 Wrapping Up 332 PART IV: Pulling It All Together 333 Chapter 27: Invent Internal DSLs 335 Little Languages for Big Problems 335 Dealing with XML 336 Stepping Over the DSL Line 341 Pulling Out All the Stops 344 In the Wild 345 Staying Out of Trouble347 Wrapping Up 349 Chapter 28: Build External DSLs for Flexible Syntax 351 The Trouble with the Ripper 352 Internal Is Not the Only DSL 353 Regular Expressions for Heavier Parsing 356 Treetop for Really Big Jobs 358 Staying Out of Trouble360 In the Wild 362 Wrapping Up 364 Chapter 29: Package Your Programs as Gems 367 Consuming Gems 367 Gem Versions 368,140
Page 17,Contents xvii The Nuts and Bolts of Gems 369 Building a Gem 370 Uploading Your Gem to a Repository 374 Automating Gem Creation 375 In the Wild 376 Staying Out of Troubl377 Wrapping Up 380 Chapter 30: Know Your Ruby Implementation 381 A Fistful of Rubies 381 MRI: An Enlightening Experience for the C Programmer 382 YARV: MRI with a Byte Code Turbocharger 385 JRuby: Bending the “J” in the JVM 387 Rubinius 388 In the Wild 389 Staying Out of Troubl389 Wrapping Up 390 Chapter 31: Keep an Open Mind to Go with Those Open Classes 391 Appendix: Going Further 393 Index 397,89
Page 18,This page intentionally left blank,9
Page 19,"Foreword Do you know why experienced Ruby programmers tend to reach for basic collections and hashes while programmers from other languages go for more specialized classes? Do you know the difference between strip, chop, and chomp, and why there are three such similar methods when apparently one might suffice? (Not to mention lstrip and rstrip!) Do you know the downsides of dynamic typing? Do you know why the dif- ferences between strings and symbols get so blurry, even to experienced Ruby devel- opers? How about metaprogramming? What the heck is an eigenclass? How about protected methods? Do you know what they’re really about? Really? Are you sure? Russ knows all that stuff and more. And if books are like babies, then Russ is that experienced mom who pops out her second child after a couple of hours of labor and is back at work a week later in her pre-pregnancy clothes as if nothing out of the ordi- nary happened. You know: the one all the other moms talk about in hushed tones of disbelief and reverence. That’s the way my series authors discuss Russ. Not that there’s anything small or insignificant about Russ’ bouncing new baby . . . eh, I mean book. On the contrary, weighing in at just over 400 pages, this tome is slightly larger than its older sibling Design Patterns in Ruby. The family resemblance is crystal clear: Russ is first and foremost your friend. His approachable writing style makes even the driest Ruby language topics engaging and funny. Like the way that symbols remind Russ “of the eyes peering out from the tilted head of a confused but friendly dog.” Truth is, we need this kind of book now more than ever. Ruby has hit the main- stream with the force of a Hulk Smash, and the masses are paddling along well-known routes without full (heck, sometimes any) understanding of what makes their favorite xix",324
Page 20,"xx Foreword frameworks and library APIs so vibrant and navigable. So for those not content with the basics, those who want to go beyond shallow understanding, this book goes deep. It helps readers achieve true mastery of Ruby, a programming language with some of the deepest, darkest pools of nuance and texture of all the major languages of modern times. I know you’re going to enjoy this book, just like I did. And if you do, please join me in encouraging Russ to get knocked up again soon. —Obie Fernandez, Professional Ruby Series Editor",99
Page 21,"Preface I’ve taught a fair number of Ruby classes over the years, but one particular class stands out in my mind. Class was over, and as I was going out the door one of my students, an experienced Java programmer, stopped me and voiced a complaint that I have heard many times since. He said that the hardest part of learning Ruby wasn’t the syn- tax or the dynamic typing. Oh, he could write perfectly correct Ruby, sans semicolons and variable declarations. The problem was that something was missing. He con- stantly found himself falling back into his same old Java habits. Somehow his Ruby code always ended up looking much like what he would have written in Java. My answer to him was not to worry, you haven’t missed anything—you just aren’t done learning Ruby. What does it mean to learn a new programming language? Clearly, like my frus- trated student, you need to understand the basic rules of the grammar. To learn Ruby you need to be aware that a new line usually starts a new statement, that a class defi- nition starts with the word class , and that variable names start with a lowercase let- ter—unless they start with an . But you can’t really stop there. Again, like my erstwhile student you will also need to know what all of that code does. You’ll need to know that those statements are really expressions (since they all return a value) and thatallofthose classes starting with thclass keyword canchangeovertime.And you’ll need to know why those @variables are different from the plain vanilla variables. But the punch line is that even after you master all of this, you are still not quite there. It turns out that computer languages share something fundamental with our everyday order-a-pizza human tongues: Both kinds of languages are embedded in a culture, a way of thinking about the world, an approach to solving problems. A formal xxi",336
Page 22,"xxii Preface understanding of the mechanics of Ruby isn’t the same as really looking at the pro- gramming world through Ruby-colored glasses. You need to absorb the cultural part of Ruby, to see how real Rubyists use the language to solve problems. This is a book about making that final leap, about absorbing the Ruby program- ming culture, about becoming truly fluent in Ruby. The good news is that for most people the final step is the best part of learning Ruby—a series of “Ah ha!” moments— as it suddenly becomes clear why those funny symbol things exist, why classes are never final, and how this wonderful language works so hard to just stay out of your way. Who Is This Book For? This book is for you if you have a basic understanding of Ruby but feel that you haven’t quite gotten your arms around the language. If you find yourself wondering what anyone could possibly do with all those odd language features that seem so important to Ruby, keep reading. This book is also for you if you are a programmer with experience in other object oriented languages, perhaps Java or C# or Python, and you want to see what this Ruby thing is all about. While I’m not going to explain the basic details of Ruby in this book, the basics of Ruby are really very basic indeed. So, if your learning style involves simply jumping into the deep end, welcome to the pool. How Is This Book Organized? Mostly, this book works from small to large. We will start with the most tactical ques- tions and work our way up to the grand strategy behind pulling whole Ruby projects together. Thus the first few chapters will concentrate on one statement, one method, one test, and one bug-sized issue: • How do you write code that actually looks like Ruby? • Why does Ruby have such an outsized collection of control structures? • Why do Ruby programmers use so many hashes and arrays in their code? • How do I get the most out of Ruby’s very powerful strings and regular expressions? • What are those symbol things, and what do you do with them?",372
Page 23,"Preface xxiii • Is everything in Ruby really an object? • How do I take advantage of dynamic typing? • How can I make sure that my code actually works? From there we will move on to the bigger questions of building methods and classes: • Why are Ruby classes so full of tiny little methods? • Why would you overload an operator? And, more importantly, why would you not? • Do I really need to care about object equality? • What good is a module? • Can I really assign a method to an individual object? And what does that have to do with class methods? • How do I hang some data on a class? • How do you use blocks to good effect? • Why would you ever call a method that doesn’t actually exist? • Can I really get notified when a class gets created? Why would I do that? • Can I really modify classes on the fly? Why would I do that? • Can I really write code that writes code? Why would I do that? Finally, we will look at some of the techniques you can use to pull your program- ming project together into a unified whole: • Would you really build a whole language simply to solve an ordinary program- ming problem? • How do I make it easy for others to use my work? • How does my Ruby implementation work? • Where do I go from here?",235
Page 24,"xxiv Preface About the Code Examples The trouble with writing books about programming is that all the interesting stuff is in a constant state of flux. This is, after all, what makes it interesting. Certainly Ruby is something of a moving target these days: Although the great bulk of the Ruby code base was written for Ruby 1.8.X, version 1.9 has been out for some time and is clearly the future. In the pages that follow I have tried to split the coding difference by writ- ing all of the examples in the 1.9 dialect,1 taking care to note where Ruby 1.8 would be different. The good news is that there aren’t all that many differences. I have also consistently used the traditional pp command to print out more com- plex objects. However, to keep from driving everyone 2 crazy, I’m not going to end- lessly repeat therequire 'pp' call needed to make pp work. Just assume it is there at the top of each example. 1. Specifically, the examples all use Ruby-1.9.1-p430. 2. Especially me!",177
Page 25,"Acknowledgments Sometimes I love to write and other times it’s like squeezing out that last bit of tooth- paste—from the point of view of the tube. At those times the constant support of my friends and family made the difference between a finished book and a smashed com- puter. In return I would like to say thanks, starting with my lovely wife Karen and my noble son Jackson for their constant support, and for putting up with me when that last sentence would just not settle down. Thanks especially to Karen for sneaking into my office in the middle of the night to remove the extraneous of’s and the’s from the manuscript. Thanks to my good friend Bob Kiel for his constant encouragement. Couldn’t have done it without you, Bob. Thanks, too, to Eileen Cross for simply being there for me for all these years. Thanks to the fine folks at FGM, especially Scott Gessay, Mike Fortier, Mike Morehouse, and Kirk Maskalenko. It really is a great place to work. Also thanks to George Croghan for continuing to speak to me even after I had used the parental voice of death on him. Thanks to Chris Bailey for keeping me from taking a match to the whole project. I also owe some serious gratitude to Gene, Laura, and Derek Stokes for their com- pany and cheer as well as occasionally providing me with a quiet place to think and write: I’ve spent many a happy hour toiling away at the kitchen table of their beach house. I’d especially like to thank Gene for his rocket fuel martinis. I have only myself to blame if Gene’s concoctions occasionally enhanced the happiness of the hour at the expense of the toiling. And thanks to Laura for injecting just the right level of zani- ness into my life. xxv",318
Page 26,"xxvi Acknowledgments Special thanks to Scott Downie (the brightest intern who ever fetched coffee) for introducing me to the TV series Firefly and thereby getting me through the dark days 1 of Chapters 15 and 16. Thanks to everyone behind the NorthernVirginia RubyUsers’ Group, RubyNation, and the National Capital Area Clojure User Group for their encouragement.Through their efforts hundreds of gallons of beer have found a decent home. Thanks to everyone who reviewed the early versions of this book, including Rob Sanheim, James Kebinger, and Ethan Roberts. Special thanks for Beth Gutierrez for providing her unique perspective on the manuscript. Thanks to Carl Fyffe for helping me find a way out of the dark days of Chapters 15 and 16. Thanks to Mike Abner and the aforementioned Carl for helping me to settle on a title. Thanks also to Steve Ingram for starting the e-mail discussion that eventually gave birth to Chapter 5. Thanks to my friend Diana Greenberg for her constant support, and for not buy- ing a copy of this book before I can give her one. Special thanks to Diane Freed. If you can imagine trying to correct a manuscript full of technical terms, tortured syntax, and typos (I can’t), you have an idea of the job of a copy editor, a job that Diane performed with real finesse. Thanks also to Rob and Denise Cross for putting up with me over a long Thanksgiving weekend as I went through my end of the copyediting of this book. Thanks to Raina Chrobak of Addison-Wesley for her help and patience. Finally special thanks to my editor Chris Guzikowski for putting up with the delays caused by the dark days of Chapters 15 and 16. 1. Well, originally they were Chapters 11, 12, and 13, and then they became Chapter 10 before set- tling down as 15 and 16. Now you know why those days were so dark.",310
Page 27,"About the Author Russ Olsen’s career spans three decades, during which he has written everything from graphics device drivers to document management applications. These days, Russ dili- gently codes away at GIS systems, network security, and process automation solutions. Otherwise, Russ spends a lot of his free time writing and talking about programming, especially Ruby and Clojure. Russ’ first book is the highly regarded Design Patterns in Ruby (Addison-Wesley, 2008). Russ is also the lurking presence behind the Technology As If People Mattered blog (www.russolsen.com). Russ’ technical pontifications have been translated into six languages, and Russ is a frequent speaker at technical conferences. Russ lives in the Washington, D.C., area with his lovely wife, Karen, and noble son, Jackson, both of whom are smarter than he is. xxvii",135
Page 28,This page intentionally left blank,9
Page 29,PART I The Basics,8
Page 30,This page intentionally left blank,9
Page 31,"C HAPTER 1 Write Code That Looks Like Ruby Some years ago I did a long stint working on a huge document management system. The interesting thing about this job was that it was a joint development project: Part of the system was developed by my group here in the United States and part was built by a team of engineers inTokyo. I started out doing straight programming, but slowly my job changed—I found myself doing less and less programming and more and more translating. Whenever a Japanese–American meeting collided with the language barrier my phone would ring, and I would spend the rest of the afternoon explaining to Mr. Smith just exactly what Hosokawa-San was trying to say, and vice versa. What is remarkable is that my command of Japanese is practically nil and my Japanese col- leagues actually spoke English fairly well. My special ability was that I could under- stand the very correct, but very unidiomatic classroom English spoken by our Japanese friends as well as the slangy, no-holds-barred Americanisms of my U.S. coworkers. You see the same kind of thing in programming languages. The parser for any given programming language will accept any valid program—that’s what makes it a valid program—but every programming community quickly converges on a style, an accepted set of idioms. Knowing those idioms is as much a part of learning the lan- guage as knowing what the parser will accept. After all, programming is as much about communicating with your coworkers as writing code that will run. 1. I had developed this talent over numerous lunches, happy hours, and late-night bull sessions. Oh, how I do devote myself to the cause. 3",287
Page 32,"4 Chapter 1. Write Code That Looks Like Ruby In this chapter we’ll kick off our adventures in writing good Ruby with the very smallest idioms of the language. How do you format Ruby code? What are the rules that the Ruby community (not the parser) have adopted for the names of variables and methods and classes? As we tour the little things that make a Ruby program stylisti- cally correct, we will glimpse at the thinking behind the Ruby programming style, thinking that goes to the heart of what makes Ruby such a lovely, eloquent program- ming language. Let’s get started. The Very Basic Basics At its core, the Ruby style of programming is built on a couple of very simple ideas: The first is that code should be crystal clear—good code tells the reader exactly what it is trying to do. Great code shouts its intent. The second idea is related to the first: Since there is a limit to how much information you can keep in your head at any given moment, good code is not just clear, it is also concise. It’s much easier to understand what a method or a class is doing if you can take it all in at a glance. To see this in practice, take a look at this code: class Document attr_accessor :title, :author, :content def initialize(title, author, content) @title = title @author = author @content = content end def words @content.split end def word_count words.size end end",256
Page 33,"The Very Basic Basics 5 The Document class is nothing special technically—just a field for an author, one 2 for a title, and one for the document content along with a few simple methods. The thing to note about the code above is that it follows the Ruby indentation convention: In Ruby you indent your code with two spaces per level.This means that the first level of indentation gets two spaces, followed by four, then six, and then eight. The two space rule may sound a little arbitrary, but it is actually rooted in very mundane prac- ticality: A couple of spaces is about the smallest amount of indentation that you can easily see, so using two spaces leaves you with the maximum amount of space to the right of the indentation for important stuff like actual code. Notethattheruleistousetwo spaces per indent:The Ruby convention is to never use tabs to indent. Ever. Like the two space rule, the ban on tabs also has a very prosaic motivation: The trouble with tabs is that the exchange rate between tabs and spaces is about as stable as the price of pork belly futures. Depending on who and when you ask, a tab is worth either eight spaces, four spaces, two spaces, or, in the case of one of my more eccentric former colleagues, three. Mixing tabs and spaces without any agreement on the exchange rate between the two can result in code that is less than readable: class Document attr_accessor :title, :author, :content def initialize(title, author, content) @title = title @author = author @content = content end def words @content.split end def word_count words.size end end 2. But do take a good long look at thementclass because it’s going to be with us for much of the book.",303
Page 34,"6 Chapter 1. Write Code That Looks Like Ruby Life, not to mention the schedule, is too short to deal with problems like this, so idiomatic Ruby should be serenely tab free. Go Easy on the Comments The mechanics of Ruby comments are simple enough: Anything following a # in the 4 code is a comment. The real questions regarding comments are when and how much? When is it a good idea to insert a comment into your code? And how much com- menting is enough? Good Ruby code should speak for itself, and most of the time you should let it do its own talking. If it’s obvious how someone would use your method—if the class or program needs no explanation—then don’t explain it. Above all, avoid boilerplate comments: Never put in a comment simply because you always put a comment there. There are good reasons for adding comments to your code, the best being to explain how to use your software masterpiece. These kinds of “how to” comments should focus on exactly that: how to use the thing. Don’t explain why you wrote it, the algorithm that it uses, or how you got it to run faster than fast. Just tell me how to use the thing and remember that examples are always welcome: # Class that models a plain text document, complete with title # and author: # # doc = Document.new( 'Hamlet', 'Shakespeare', 'To be or...' ) # puts doc.title # puts doc.author # puts doc.content # # Document instances know how to parse their content into words: # # puts doc.words # puts doc.word_count # 3. The “problem like this” in the example is that it was written with randomly mixed tabs and spaces, with each tab worth two spaces. Now expand the tabs to four spaces each and you have the formatting chaos that we see. 4. Ruby also supports multiline comments delimited by =begin and =end, but Ruby programmers tend to stick with the # style of comments most of the time.",334
Page 35,"Go Easy on the Comments 7 class Document # class omitted... end This is not to say that you shouldn’t have comments that explain some of the back- ground of the code. Just keep the background separate from the instructions: # Author: Russ Olsen # Copyright 2010 Russ Olsen # # Document: An example Ruby class Sometimes it’s also wise to include a “how it works” explanation of particularly complicated bits of code. Again, keep this kind of explanation separate from the “how to”: # Using ngram analysis, compute the probability # that this document and the one passed in were # written by the same person. This algorithm is # known to be valid for American English and will # probably work for British and Canadian English. # def same_author_probability( other_document ) # Implementation left as an exercise for the reader... end The occasional in-line comment can also help: return 0 if divisor == 0 # Avoid division by zero Whatever you do, don’t fall into the trap of sprinkling those “pesky younger sib- ling” comments throughout your code, comments that follow on the heels of each line, repeating everything it says: count += 1 # Add one to count The danger in comments that explain how the code works is that they can easily slide off into the worst reason for adding comments: to make a badly written program",219
Page 36,"8 Chapter 1. Write Code That Looks Like Ruby somewhat comprehensible.That voice you hear in your head, the one whispering that you need to add some comments, may just be your program crying out to be rewrit- ten. Can you improve the class, method, and variable names so that the code itself tells you what it is doing? Can you rearrange things, perhaps by breaking up a long method or collapsing two classes together? Can you rethink the algorithm? Is there anything you can do to let the code speak for itself instead of needing subtitles? Remember, good code is like a good joke: It needs no explanation. Camels for Classes, Snakes Everywhere Else Once we get past the relatively easy issues of indentation and comments, we come face to face with the question of names. Although this isn’t the place to talk about the exact words you would use to describe your variables, classes and methods, this is the place to talk about how those words go together. It’s really very simple: With a few notable 5 exceptions, you should use lowercase_words_separated_by_underscores . Almost everything in this context means methods, arguments, and variables, including instance variables: def count_words_in( the_string ) the_words = the_string.split the_words.size end Class names are an exception to the rule: Class names are camel case, soocument and LegalDocument are good but Movie_script is not. If all of this seems a bit doc- trinaire for you, there is a place where you can exercise some creativity: constants. Ruby programmers seem divided about whether constants should be rendered in camel case like classes: FurlongsPerFortnight = 0.0001663 Or all uppercase, punctuated by underscores: ANTLERS_PER_MALE_MOOSE = 2 5. Because of its low, streamlined look, this naming style is known as “snake case.”",304
Page 37,"Parentheses Are Optional but Are Occasionally Forbidden 9 My own preference—and the one you will see throughout this book—is the ALL_UPPERCASE flavor of constant. Parentheses Are Optional but Are Occasionally Forbidden Ruby tries hard not to require any syntax it can do without and a great example of this is its treatment of parentheses. When you define or call a method, you are free to add or omit the parentheses around the arguments. So if we were going to write a method to find a document, we might write it with the parentheses: def find_document( title, author ) # Body omitted... end # ... find_document( 'Frankenstein', 'Shelley' ) Or leave them out: def find_document title, author # Body omitted... end # ... find_document 'Frankenstein', 'Shelley' So, do you put them in or leave them out? With some notable exceptions, Ruby programmers generally vote for the parentheses: Although this isn’t a hard and fast rule, most Ruby programmers surround the things that get passed into a method with parentheses, both in method definitions and calls. Somehow, having those parenthe- ses there makes the code seem just a bit clearer. As I say, this is not a rigid law, so Ruby programmers do tend to dispense with the parentheses when calling a method that is familiar, stands alone on its own line, and",224
Page 38,"10 Chapter 1. Write Code That Looks Like Ruby whose arguments are few in number. Our old frieputs fits this description to a tee, and so we tend to leave the parentheses off of caputs:o puts 'Look Ma, no parentheses!' The other main exception to the “vote yes for parentheses” rule is that we don’t do empty argument lists. If you are defining—or calling—a method with no param- eters, leave the parentheses off, so that it is: def words @content.split end And not: def words() @content.split() end Finally, keep in mind that the conditions in control statements don’t require parentheses—and we generally leave them off. So don’t say this: if ( words.size < 100 ) puts 'The document is not very long.' end When you can say this: if words.size < 100 puts 'The document is not very long.' end Folding Up Those Lines Although most Ruby code sticks to the “one statement per line” format, it is possible to cram several Ruby statements onto a single line: All you need to do is to insert a semicolon between the statements:",191
Page 39,"Folding Up Those Code Blocks 11 puts doc.title; puts doc.author As I say, mostly we don’t. There are a few exceptions to this rule. For example, if you are defining an empty, or perhaps a very, very simple class, you might fold the def- inition onto a single line: class DocumentException < Exception; end You might also do the same thing with a trivial method: def method_to_be_overriden; end Keep in mind that a little bit of this kind of thing goes a long way. The goal is code that is clear as well as concise. Nothing ruins readability like simply jamming a bunch of statements together because you can. Folding Up Those Code Blocks Ruby programs are full of code blocks, chunks of code delimited by either a pair of braces, like this: 10.times { |n| puts ""The number is #{n}"" } Or, by thedo and end keywords: 10.times do |n| puts ""The number is #{n}"" puts ""Twice the number is #{n*2}"" end The two forms of code block are essentially identical: Ruby doesn’t really care which you use. Ruby programmers have, however, a simple rule for formatting of code blocks: If your block consists of a single statement, fold the whole statement into a single line and delimit the block with braces. Alternatively, if you have a multi- statement block, spread the block out over a number of lines, and use thedo/end form.",242
